05-11 16:13:57: A2C Training starting...
05-11 16:13:57: Episode 1, Reward: -8.1, Total Steps: 500 (New best! +inf)
05-11 16:13:57: Episode 2, Reward: -5.7, Total Steps: 500 (New best! +2.4)
05-11 16:13:58: Episode 10, Reward: -8.7, Total Steps: 500
05-11 16:13:59: Episode 20, Reward: -9.3, Total Steps: 500
05-11 16:14:00: Episode 30, Reward: -9.3, Total Steps: 500
05-11 16:14:02: Episode 40, Reward: -9.3, Total Steps: 500
05-11 16:14:03: Episode 50, Reward: -9.3, Total Steps: 500
05-11 16:14:04: Episode 60, Reward: -9.3, Total Steps: 500
05-11 16:14:06: Episode 70, Reward: -9.3, Total Steps: 500
05-11 16:14:07: Episode 80, Reward: -9.3, Total Steps: 500
05-11 16:14:09: Episode 90, Reward: -9.3, Total Steps: 500
05-11 16:14:10: Episode 100, Reward: -9.3, Total Steps: 500
05-11 16:14:11: Episode 110, Reward: -9.3, Total Steps: 500
05-11 16:14:12: Episode 120, Reward: -9.3, Total Steps: 500
05-11 16:14:13: Episode 130, Reward: -9.3, Total Steps: 500
05-11 16:14:15: Episode 140, Reward: -9.3, Total Steps: 500
05-11 16:14:16: Episode 150, Reward: -9.3, Total Steps: 500
05-11 16:14:17: Episode 160, Reward: -8.7, Total Steps: 500
05-11 16:14:18: Episode 170, Reward: -3.9, Total Steps: 500 (New best! +1.8)
05-11 16:14:20: Episode 180, Reward: -5.7, Total Steps: 500
05-11 16:14:21: Episode 188, Reward: -1.5, Total Steps: 500 (New best! +2.4)
05-11 16:14:21: Episode 190, Reward: -5.7, Total Steps: 500
05-11 16:14:22: Episode 200, Reward: -6.9, Total Steps: 500
05-11 16:14:24: Episode 210, Reward: -7.5, Total Steps: 500
05-11 16:14:25: Episode 220, Reward: -8.1, Total Steps: 500
05-11 16:14:26: Episode 230, Reward: -5.7, Total Steps: 500
05-11 16:14:26: Episode 236, Reward: 3.9, Total Steps: 500 (New best! +5.4)
05-11 16:14:27: Episode 240, Reward: 2.1, Total Steps: 500
05-11 16:14:28: Episode 250, Reward: 3.9, Total Steps: 500
05-11 16:14:29: Episode 252, Reward: 4.3, Total Steps: 500 (New best! +0.4)
05-11 16:14:29: Episode 260, Reward: 2.0, Total Steps: 500
05-11 16:14:30: Episode 270, Reward: 2.0, Total Steps: 500
05-11 16:14:31: Episode 280, Reward: 2.9, Total Steps: 500
05-11 16:14:32: Episode 290, Reward: 2.0, Total Steps: 500
05-11 16:14:33: Episode 300, Reward: 2.0, Total Steps: 500
05-11 16:14:34: Episode 310, Reward: 2.0, Total Steps: 500
05-11 16:14:34: Episode 320, Reward: 2.0, Total Steps: 500
05-11 16:14:35: Episode 330, Reward: 2.0, Total Steps: 500
05-11 16:14:36: Episode 340, Reward: 2.0, Total Steps: 500
05-11 16:14:37: Episode 350, Reward: 2.0, Total Steps: 500
05-11 16:14:38: Episode 360, Reward: 3.7, Total Steps: 500
05-11 16:14:39: Episode 370, Reward: 3.9, Total Steps: 500
05-11 16:14:40: Episode 380, Reward: 2.0, Total Steps: 500
05-11 16:14:41: Episode 390, Reward: 2.0, Total Steps: 500
05-11 16:14:41: Episode 395, Reward: 4.8, Total Steps: 500 (New best! +0.5)
05-11 16:14:41: Episode 400, Reward: 4.1, Total Steps: 500
05-11 16:14:43: Episode 410, Reward: 2.0, Total Steps: 500
05-11 16:14:43: Episode 413, Reward: 4.9, Total Steps: 500 (New best! +0.1)
05-11 16:14:44: Episode 420, Reward: 11.2, Total Steps: 500 (New best! +6.3)
05-11 16:14:45: Episode 430, Reward: 3.9, Total Steps: 500
05-11 16:14:47: Episode 440, Reward: 4.0, Total Steps: 500
05-11 16:14:49: Episode 450, Reward: 3.9, Total Steps: 500
05-11 16:14:50: Episode 460, Reward: 3.9, Total Steps: 500
05-11 16:14:51: Episode 468, Reward: 15.1, Total Steps: 500 (New best! +3.9)
05-11 16:14:51: Episode 470, Reward: 3.9, Total Steps: 500
05-11 16:14:53: Episode 480, Reward: 3.9, Total Steps: 500
05-11 16:14:55: Episode 490, Reward: 8.4, Total Steps: 500
05-11 16:14:56: Episode 500, Reward: 3.9, Total Steps: 500
05-11 16:14:57: Episode 510, Reward: 4.4, Total Steps: 500
05-11 16:14:59: Episode 520, Reward: 3.9, Total Steps: 500
05-11 16:15:00: Episode 530, Reward: 3.9, Total Steps: 500
05-11 16:15:01: Episode 540, Reward: 3.9, Total Steps: 500
05-11 16:15:03: Episode 550, Reward: 3.9, Total Steps: 500
05-11 16:15:04: Episode 560, Reward: 4.1, Total Steps: 500
05-11 16:15:06: Episode 570, Reward: 9.1, Total Steps: 500
05-11 16:15:07: Episode 580, Reward: 4.7, Total Steps: 500
05-11 16:15:08: Episode 584, Reward: 17.9, Total Steps: 500 (New best! +2.8)
05-11 16:15:09: Episode 590, Reward: 4.0, Total Steps: 500
05-11 16:15:10: Episode 600, Reward: 6.6, Total Steps: 500
05-11 16:15:12: Episode 610, Reward: 3.9, Total Steps: 500
05-11 16:15:13: Episode 620, Reward: 4.2, Total Steps: 500
05-11 16:15:15: Episode 630, Reward: 3.9, Total Steps: 500
05-11 16:15:16: Episode 640, Reward: 8.4, Total Steps: 500
05-11 16:15:17: Episode 646, Reward: 18.0, Total Steps: 500 (New best! +0.1)
05-11 16:15:17: Episode 650, Reward: 3.9, Total Steps: 500
05-11 16:15:20: Episode 655, Reward: 27.0, Total Steps: 500 (New best! +9.0)
05-11 16:15:21: Episode 660, Reward: 8.7, Total Steps: 500
05-11 16:15:22: Episode 670, Reward: 3.9, Total Steps: 500
05-11 16:15:24: Episode 680, Reward: 3.9, Total Steps: 500
05-11 16:15:25: Episode 690, Reward: 3.9, Total Steps: 500
05-11 16:15:26: Episode 700, Reward: 3.9, Total Steps: 500
05-11 16:15:27: Episode 710, Reward: 3.9, Total Steps: 500
05-11 16:15:29: Episode 720, Reward: 3.9, Total Steps: 500
05-11 16:15:31: Episode 730, Reward: 8.4, Total Steps: 500
05-11 16:15:32: Episode 740, Reward: 3.9, Total Steps: 500
05-11 16:15:34: Episode 750, Reward: 4.1, Total Steps: 500
05-11 16:15:35: Episode 760, Reward: 12.9, Total Steps: 500
05-11 16:15:37: Episode 770, Reward: 6.2, Total Steps: 500
05-11 16:15:39: Episode 780, Reward: 3.9, Total Steps: 500
