05-11 15:33:49: Training starting...
05-11 15:33:49: Episode 1, Reward: -8.1, Epsilon: 0.9995 (New best! +inf)
05-11 15:33:50: Episode 2, Reward: -7.5, Epsilon: 0.9990 (New best! +0.6)
05-11 15:33:50: Episode 3, Reward: -6.9, Epsilon: 0.9985 (New best! +0.6)
05-11 15:33:50: Episode 6, Reward: -5.7, Epsilon: 0.9970 (New best! +1.2)
05-11 15:33:50: Episode 7, Reward: -1.5, Epsilon: 0.9965 (New best! +4.2)
05-11 15:33:50: Episode 10, Reward: -8.7, Epsilon: 0.9950
05-11 15:33:52: Episode 20, Reward: -7.5, Epsilon: 0.9900
05-11 15:33:53: Episode 30, Reward: -7.5, Epsilon: 0.9851
05-11 15:33:54: Episode 40, Reward: -8.7, Epsilon: 0.9802
05-11 15:33:56: Episode 50, Reward: -8.7, Epsilon: 0.9753
05-11 15:33:57: Episode 60, Reward: -8.1, Epsilon: 0.9704
05-11 15:33:58: Episode 70, Reward: -8.1, Epsilon: 0.9656
05-11 15:33:59: Episode 80, Reward: -7.5, Epsilon: 0.9608
05-11 15:34:01: Episode 90, Reward: -8.1, Epsilon: 0.9560
05-11 15:34:02: Episode 100, Reward: -8.1, Epsilon: 0.9512
05-11 15:34:03: Episode 110, Reward: -4.5, Epsilon: 0.9465
05-11 15:34:05: Episode 120, Reward: -7.5, Epsilon: 0.9418
05-11 15:34:06: Episode 130, Reward: -7.5, Epsilon: 0.9371
05-11 15:34:08: Episode 140, Reward: -6.3, Epsilon: 0.9324
05-11 15:34:09: Episode 150, Reward: -6.3, Epsilon: 0.9277
05-11 15:34:11: Episode 160, Reward: -7.5, Epsilon: 0.9231
05-11 15:34:12: Episode 170, Reward: -8.1, Epsilon: 0.9185
05-11 15:34:13: Episode 180, Reward: -7.5, Epsilon: 0.9139
05-11 15:34:14: Episode 190, Reward: -6.9, Epsilon: 0.9094
05-11 15:34:16: Episode 200, Reward: -7.5, Epsilon: 0.9048
05-11 15:34:17: Episode 210, Reward: -8.1, Epsilon: 0.9003
05-11 15:34:18: Episode 220, Reward: -7.5, Epsilon: 0.8958
05-11 15:34:20: Episode 230, Reward: -8.1, Epsilon: 0.8913
05-11 15:34:21: Episode 240, Reward: -8.1, Epsilon: 0.8869
05-11 15:34:23: Episode 250, Reward: -6.9, Epsilon: 0.8825
05-11 15:34:24: Episode 260, Reward: -7.5, Epsilon: 0.8781
05-11 15:34:25: Episode 270, Reward: -8.1, Epsilon: 0.8737
05-11 15:34:27: Episode 280, Reward: -8.1, Epsilon: 0.8693
05-11 15:34:28: Episode 290, Reward: -6.9, Epsilon: 0.8650
05-11 15:34:29: Episode 300, Reward: -6.9, Epsilon: 0.8607
05-11 15:34:31: Episode 310, Reward: -6.9, Epsilon: 0.8564
05-11 15:34:33: Episode 320, Reward: -5.1, Epsilon: 0.8521
05-11 15:34:34: Episode 330, Reward: -8.1, Epsilon: 0.8479
05-11 15:34:37: Episode 340, Reward: -5.7, Epsilon: 0.8436
05-11 15:34:38: Episode 350, Reward: -7.5, Epsilon: 0.8394
05-11 15:34:39: Episode 356, Reward: -0.9, Epsilon: 0.8369 (New best! +0.6)
05-11 15:34:40: Episode 360, Reward: -2.7, Epsilon: 0.8352
05-11 15:34:42: Episode 370, Reward: -6.3, Epsilon: 0.8311
05-11 15:34:43: Episode 380, Reward: -8.1, Epsilon: 0.8269
05-11 15:34:44: Episode 390, Reward: -7.5, Epsilon: 0.8228
05-11 15:34:46: Episode 400, Reward: -5.1, Epsilon: 0.8187
05-11 15:34:47: Episode 410, Reward: -7.5, Epsilon: 0.8146
05-11 15:34:48: Episode 420, Reward: -7.5, Epsilon: 0.8105
05-11 15:34:50: Episode 430, Reward: -8.1, Epsilon: 0.8065
05-11 15:34:51: Episode 440, Reward: -6.9, Epsilon: 0.8025
05-11 15:34:52: Episode 450, Reward: -6.9, Epsilon: 0.7985
05-11 15:34:53: Episode 455, Reward: 3.9, Epsilon: 0.7965 (New best! +4.8)
05-11 15:34:54: Episode 460, Reward: -8.1, Epsilon: 0.7945
05-11 15:34:55: Episode 470, Reward: -5.7, Epsilon: 0.7905
05-11 15:34:57: Episode 480, Reward: 0.3, Epsilon: 0.7866
05-11 15:34:58: Episode 490, Reward: -5.1, Epsilon: 0.7827
05-11 15:34:59: Episode 500, Reward: -6.9, Epsilon: 0.7788
05-11 15:35:01: Episode 510, Reward: -7.5, Epsilon: 0.7749
05-11 15:35:02: Episode 520, Reward: -8.1, Epsilon: 0.7710
05-11 15:35:04: Episode 530, Reward: -6.9, Epsilon: 0.7672
05-11 15:35:06: Episode 540, Reward: -7.5, Epsilon: 0.7633
05-11 15:35:07: Episode 550, Reward: -1.5, Epsilon: 0.7595
05-11 15:35:09: Episode 560, Reward: -3.9, Epsilon: 0.7557
05-11 15:35:10: Episode 570, Reward: -6.9, Epsilon: 0.7520
05-11 15:35:11: Episode 580, Reward: -4.5, Epsilon: 0.7482
05-11 15:35:13: Episode 590, Reward: -5.1, Epsilon: 0.7445
05-11 15:35:14: Episode 600, Reward: -6.9, Epsilon: 0.7408
05-11 15:35:15: Episode 610, Reward: -6.9, Epsilon: 0.7371
05-11 15:35:17: Episode 620, Reward: -6.3, Epsilon: 0.7334
05-11 15:35:18: Episode 630, Reward: -5.7, Epsilon: 0.7297
05-11 15:35:19: Episode 640, Reward: 0.3, Epsilon: 0.7261
05-11 15:35:21: Episode 650, Reward: -5.7, Epsilon: 0.7225
05-11 15:35:22: Episode 660, Reward: -2.1, Epsilon: 0.7189
05-11 15:35:24: Episode 670, Reward: -6.9, Epsilon: 0.7153
05-11 15:35:25: Episode 680, Reward: -2.7, Epsilon: 0.7117
